Jumlah Input	Jumlah Epoch	Jumlah Neuron	Jumlah Batch Size	Akurasi (%)
8	50	2	32	20.00%
8	50	2	16	16.25%
8	50	2	8	16.25%
8	50	2	4	23.75%
8	50	2	2	16.25%
8	5	4	32	13.75%
8	5	4	16	21.25%
8	5	4	8	6.25%
8	5	4	4	11.25%
8	5	4	2	16.25%
8	10	4	32	12.50%
8	10	4	16	17.50%
8	10	4	8	13.75%
8	10	4	4	13.75%
8	10	4	2	13.75%
8	15	4	32	13.75%
8	15	4	16	12.50%
8	15	4	8	23.75%
8	15	4	4	23.75%
8	15	4	2	20.00%
8	20	4	32	16.25%
8	20	4	16	18.75%
8	20	4	8	12.50%
8	20	4	4	25.00%
8	20	4	2	21.25%
8	25	4	32	13.75%
8	25	4	16	12.50%
8	25	4	8	25.00%
8	25	4	4	20.00%
8	25	4	2	31.25%
8	30	4	32	13.75%
8	30	4	16	26.25%
8	30	4	8	16.25%
8	30	4	4	12.50%
8	30	4	2	33.75%
8	35	4	32	18.75%
8	35	4	16	13.75%
8	35	4	8	21.25%
8	35	4	4	25.00%
8	35	4	2	26.25%
8	40	4	32	15.00%
8	40	4	16	13.75%
8	40	4	8	15.00%
8	40	4	4	21.25%
8	40	4	2	12.50%
8	45	4	32	18.75%
8	45	4	16	18.75%
8	45	4	8	26.25%
8	45	4	4	28.75%
8	45	4	2	35.00%
8	50	4	32	21.25%
8	50	4	16	11.25%
8	50	4	8	13.75%
8	50	4	4	22.50%
8	50	4	2	22.50%
8	5	8	32	20.00%
8	5	8	16	15.00%
8	5	8	8	13.75%
8	5	8	4	13.75%
8	5	8	2	23.75%
8	10	8	32	13.75%
8	10	8	16	18.75%
8	10	8	8	25.00%
8	10	8	4	23.75%
8	10	8	2	23.75%
8	15	8	32	23.75%
8	15	8	16	11.25%
8	15	8	8	15.00%
8	15	8	4	23.75%
8	15	8	2	26.25%
8	20	8	32	17.50%
8	20	8	16	25.00%
8	20	8	8	21.25%
8	20	8	4	35.00%
8	20	8	2	30.00%
8	25	8	32	20.00%
8	25	8	16	20.00%
8	25	8	8	11.25%
8	25	8	4	20.00%
8	25	8	2	28.75%
8	30	8	32	21.25%
8	30	8	16	21.25%
8	30	8	8	12.50%
8	30	8	4	26.25%
8	30	8	2	25.00%
8	35	8	32	16.25%
8	35	8	16	13.75%
8	35	8	8	30.00%
8	35	8	4	25.00%
8	35	8	2	28.75%
8	40	8	32	17.50%
8	40	8	16	20.00%
8	40	8	8	22.50%
8	40	8	4	27.50%
8	40	8	2	31.25%
8	45	8	32	12.50%
8	45	8	16	18.75%
8	45	8	8	30.00%
8	45	8	4	28.75%
8	45	8	2	37.50%
8	50	8	32	15.00%
8	50	8	16	27.50%
8	50	8	8	32.50%
8	50	8	4	23.75%
8	50	8	2	37.50%
8	5	10	32	15.00%
8	5	10	16	10.00%
8	5	10	8	10.00%
8	5	10	4	16.25%
8	5	10	2	17.50%
8	10	10	32	12.50%
8	10	10	16	18.75%
8	10	10	8	28.75%
8	10	10	4	28.75%
8	10	10	2	23.75%
8	15	10	32	16.25%
8	15	10	16	11.25%
8	15	10	8	18.75%
8	15	10	4	17.50%
8	15	10	2	21.25%
8	20	10	32	15.00%
8	20	10	16	27.50%
8	20	10	8	25.00%
8	20	10	4	15.00%
8	20	10	2	18.75%
8	25	10	32	21.25%
8	25	10	16	27.50%
8	25	10	8	16.25%
8	25	10	4	28.75%
8	25	10	2	28.75%
8	30	10	32	23.75%
8	30	10	16	23.75%
8	30	10	8	28.75%
8	30	10	4	26.25%
8	30	10	2	36.25%
8	35	10	32	35.00%
8	35	10	16	18.75%
8	35	10	8	23.75%
8	35	10	4	25.00%
8	35	10	2	22.50%
8	40	10	32	33.75%
8	40	10	16	31.25%
8	40	10	8	35.00%
8	40	10	4	35.00%
8	40	10	2	30.00%
8	45	10	32	27.50%
8	45	10	16	21.25%
8	45	10	8	23.75%
8	45	10	4	28.75%
8	45	10	2	36.25%
8	50	10	32	26.25%
8	50	10	16	32.50%
8	50	10	8	21.25%
8	50	10	4	26.25%
8	50	10	2	38.75%
8	5	12	32	13.75%
8	5	12	16	13.75%
8	5	12	8	18.75%
8	5	12	4	17.50%
8	5	12	2	10.00%
8	10	12	32	12.50%
8	10	12	16	16.25%
8	10	12	8	12.50%
8	10	12	4	20.00%
8	10	12	2	26.25%
8	15	12	32	17.50%
8	15	12	16	18.75%
8	15	12	8	23.75%
8	15	12	4	21.25%
8	15	12	2	13.75%
8	20	12	32	17.50%
8	20	12	16	23.75%
8	20	12	8	13.75%
8	20	12	4	21.25%
8	20	12	2	37.50%
8	25	12	32	25.00%
8	25	12	16	22.50%
8	25	12	8	31.25%
8	25	12	4	27.50%
8	25	12	2	27.50%
8	30	12	32	17.50%
8	30	12	16	27.50%
8	30	12	8	26.25%
8	30	12	4	30.00%
8	30	12	2	30.00%
8	35	12	32	30.00%
8	35	12	16	40.00%
8	35	12	8	33.75%
8	35	12	4	32.50%
8	35	12	2	37.50%
8	40	12	32	18.75%
8	40	12	16	33.75%
8	40	12	8	32.50%
8	40	12	4	33.75%
8	40	12	2	33.75%
8	45	12	32	27.50%
8	45	12	16	18.75%
8	45	12	8	22.50%
8	45	12	4	26.25%
8	45	12	2	36.25%
8	50	12	32	25.00%
8	50	12	16	21.25%
8	50	12	8	30.00%
8	50	12	4	35.00%
8	50	12	2	38.75%
8	5	14	32	13.75%
8	5	14	16	11.25%
8	5	14	8	12.50%
8	5	14	4	23.75%
8	5	14	2	17.50%
8	10	14	32	30.00%
8	10	14	16	11.25%
8	10	14	8	20.00%
8	10	14	4	30.00%
8	10	14	2	32.50%
8	15	14	32	12.50%
8	15	14	16	18.75%
8	15	14	8	26.25%
8	15	14	4	18.75%
8	15	14	2	35.00%
8	20	14	32	23.75%
8	20	14	16	15.00%
8	20	14	8	22.50%
8	20	14	4	36.25%
8	20	14	2	33.75%
8	25	14	32	18.75%
8	25	14	16	27.50%
8	25	14	8	22.50%
8	25	14	4	26.25%
8	25	14	2	31.25%
8	30	14	32	23.75%
8	30	14	16	33.75%
8	30	14	8	20.00%
8	30	14	4	31.25%
8	30	14	2	37.50%
8	35	14	32	17.50%
8	35	14	16	35.00%
8	35	14	8	31.25%
8	35	14	4	35.00%
8	35	14	2	36.25%
8	40	14	32	30.00%
8	40	14	16	30.00%
8	40	14	8	28.75%
8	40	14	4	36.25%
8	40	14	2	37.50%
8	45	14	32	18.75%
8	45	14	16	31.25%
8	45	14	8	30.00%
8	45	14	4	37.50%
8	45	14	2	40.00%
8	50	14	32	22.50%
8	50	14	16	26.25%
8	50	14	8	30.00%
8	50	14	4	36.25%
8	50	14	2	35.00%
8	5	16	32	13.75%
8	5	16	16	21.25%
8	5	16	8	22.50%
8	5	16	4	21.25%
8	5	16	2	12.50%
8	10	16	32	11.25%
8	10	16	16	12.50%
8	10	16	8	16.25%
8	10	16	4	16.25%
8	10	16	2	18.75%
8	15	16	32	16.25%
8	15	16	16	18.75%
8	15	16	8	20.00%
8	15	16	4	28.75%
8	15	16	2	35.00%
8	20	16	32	21.25%
8	20	16	16	15.00%
8	20	16	8	32.50%
8	20	16	4	25.00%
8	20	16	2	38.75%
8	25	16	32	26.25%
8	25	16	16	13.75%
8	25	16	8	36.25%
8	25	16	4	31.25%
8	25	16	2	32.50%
8	30	16	32	16.25%
8	30	16	16	25.00%
8	30	16	8	32.50%
8	30	16	4	28.75%
8	30	16	2	35.00%
8	35	16	32	26.25%
8	35	16	16	37.50%
8	35	16	8	32.50%
8	35	16	4	37.50%
8	35	16	2	37.50%
8	40	16	32	31.25%
8	40	16	16	25.00%
8	40	16	8	35.00%
8	40	16	4	40.00%
8	40	16	2	37.50%
8	45	16	32	35.00%
8	45	16	16	20.00%
8	45	16	8	33.75%
8	45	16	4	36.25%
8	45	16	2	41.25%
8	50	16	32	32.50%
8	50	16	16	30.00%
8	50	16	8	36.25%
8	50	16	4	35.00%
8	50	16	2	37.50%
Jumlah Input	Jumlah Epoch	Jumlah Neuron	Jumlah Batch Size	Akurasi (%)
16	5	2	32	12.5%
16	5	2	16	15.0%
16	5	2	8	20.0%
